Iteration,Result
1,0.85
2,0.875
3,0.8527777777777777
4,0.8722222222222222
5,0.85
6,0.8305555555555556
7,0.8277777777777777
8,0.8305555555555556
9,0.8277777777777777
10,0.8888888888888888
11,0.8722222222222222
12,0.8944444444444445
13,0.8722222222222222
14,0.8611111111111112
15,0.8638888888888889
16,0.8638888888888889
17,0.9055555555555556
18,0.8666666666666667
19,0.8555555555555555
20,0.8472222222222222
21,0.8722222222222222
22,0.8138888888888889
23,0.8333333333333334
24,0.8472222222222222
25,0.8805555555555555
26,0.8638888888888889
27,0.8694444444444445
28,0.8722222222222222
29,0.8472222222222222
30,0.8722222222222222
31,0.8305555555555556
32,0.8638888888888889
33,0.8527777777777777
34,0.8638888888888889
35,0.825
36,0.8611111111111112
37,0.8444444444444444
38,0.8444444444444444
39,0.8222222222222222
40,0.8416666666666667
41,0.8916666666666667
42,0.8416666666666667
43,0.8472222222222222
44,0.8527777777777777
45,0.875
46,0.8416666666666667
47,0.8111111111111111
48,0.875
49,0.85
50,0.8138888888888889
