Iteration,Result
1,0.85
2,0.8277777777777777
3,0.8277777777777777
4,0.8388888888888889
5,0.825
6,0.8444444444444444
7,0.8194444444444444
8,0.8388888888888889
9,0.8472222222222222
10,0.8444444444444444
11,0.8444444444444444
12,0.825
13,0.8416666666666667
14,0.8555555555555555
15,0.8555555555555555
16,0.8416666666666667
17,0.8388888888888889
18,0.8194444444444444
19,0.8333333333333334
20,0.85
21,0.8555555555555555
22,0.8305555555555556
23,0.8527777777777777
24,0.8416666666666667
25,0.8388888888888889
26,0.8305555555555556
27,0.8416666666666667
28,0.85
29,0.8333333333333334
30,0.8472222222222222
31,0.8333333333333334
32,0.8361111111111111
33,0.85
34,0.8388888888888889
35,0.85
36,0.8416666666666667
37,0.8333333333333334
38,0.8555555555555555
39,0.8305555555555556
40,0.8333333333333334
41,0.8444444444444444
42,0.8416666666666667
43,0.8444444444444444
44,0.85
45,0.8361111111111111
46,0.85
47,0.8444444444444444
48,0.8472222222222222
49,0.8305555555555556
50,0.8138888888888889
